u,v,length,shortest_cost,risk_cost,trusted_cost
499543273,499543276,80.71168897591588,80.71168897591588,383.4135339437866,452.24423479350133
499543276,5271707997,101.13868323648725,101.13868323648725,455.13052933561045,541.3813133114232
499543276,2750593461,423.4488161731314,423.4488161731314,1922.516137066034,2283.6320938870567
499543283,6467166907,73.46384553250553,73.46384553250553,329.79819051682585,348.3834172463532
499543283,499543341,142.62088315544102,142.62088315544102,659.6507675262444,771.5279501575122
499543283,5832657762,469.1560686230031,469.1560686230031,2135.246022881865,2537.966473915034
499543338,2525989776,98.05410566860745,98.05410566860745,393.76206523704315,418.5682508158497
499543338,2525989760,168.40019284137145,168.40019284137145,675.1661875453663,717.7688547834732
499543338,7961542817,146.28923690974995,146.28923690974995,663.0023679253528,700.011302270537
499543341,7961542817,59.58583223177143,59.58583223177143,279.5233416536556,326.2647086073608
499543341,7961467136,38.35844315562372,38.35844315562372,183.7373010212543,230.1506589337423
499543343,7961467144,171.34196182946985,171.34196182946985,828.0278857551291,944.2898722379044
499543343,5832657762,144.33173794112983,144.33173794112983,671.539289968551,795.4326945080122
499543343,7961467090,45.14692847137445,45.14692847137445,212.72228010099425,248.81113104446527
499681297,7959990507,16.32390356120154,16.32390356120154,90.32213161986475,97.94342136720924
499681297,7959990555,82.10363163844565,82.10363163844565,407.3305167975541,492.6217898306739
499681297,6033482414,438.97022292029095,438.97022292029095,2153.125997452983,2633.8213375217456
499681297,8109971643,194.93455600970708,194.93455600970708,928.0564710825649,1169.6073360582425
499681310,10875282430,106.97758669265941,106.97758669265941,419.7383626862093,641.8655201559565
499681310,8168044500,218.63163373061408,218.63163373061408,744.621325221306,1311.7898023836844
499681310,2653610227,376.4185059080725,376.4185059080725,1487.7369288855843,2258.511035448435
499681326,500020997,131.73824052271172,131.73824052271172,619.6277036938473,652.9554590177947
499681326,500020999,215.43123692688226,215.43123692688226,1023.6155412608807,1193.4547928645852
499681326,5435020958,24.541926375858633,24.541926375858633,118.67458406186364,124.8833152107508
499681378,2653614550,41.649761700002195,41.649761700002195,194.53791183946316,231.6269455855878
499681378,500023137,70.74642107154557,70.74642107154557,343.58520806667,361.4829680653011
500015586,12987924263,20.348080040634358,20.348080040634358,97.1836896880941,114.0858771454774
500015586,5269889123,209.92265868892179,209.92265868892179,1036.5600825087508,1089.6672970728528
500015586,6261187076,75.6553074577589,75.6553074577589,370.57814808677796,389.717781088598
500015592,2319202440,13.767805250129888,13.767805250129888,63.16132302186543,82.60683150077932
500015592,11111332276,52.60518642989839,52.60518642989839,246.67999689854065,284.8988309382227
500015592,500015611,16.987914670980448,16.987914670980448,81.54097685672707,101.9274880258827
500015592,11111332270,52.691461734892734,52.691461734892734,249.0770864466019,287.3586014078258
500015594,13017481562,541.3576721847114,541.3576721847114,2312.594864407163,2449.5500565345646
500015594,10556743834,134.2491518258558,134.2491518258558,641.8632351403442,675.8262125320774
500015594,1783922945,20.726618522387007,20.726618522387007,95.23468575941021,100.47820250949026
500015611,8878665913,51.81996053282042,51.81996053282042,244.9574250612519,282.60577508061647
500015611,2367560891,14.679820265759409,14.679820265759409,67.34529235876641,88.07892159455645
500015611,8878670822,51.33550311506999,51.33550311506999,224.58712211947937,261.8835030858881
500016474,2784870919,245.10229325877913,245.10229325877913,1058.4601210330206,1120.4672438445532
500016474,9200052964,171.90056540382224,171.90056540382224,746.4772602164259,789.9654680526245
500016474,10556743818,157.07341399837355,157.07341399837355,721.4558039383876,761.1929697671084
500016482,500016487,194.4929687101889,194.4929687101889,852.4086721089419,1014.4673072411822
500016482,500016501,147.10719720924783,147.10719720924783,657.9108383325516,695.126704094295
500016482,500016970,177.5070925867976,177.5070925867976,743.8513320091827,788.7579052754179
500016487,2367574792,165.99301732895952,165.99301732895952,789.6637448862244,927.9751810692859
500016487,500017649,198.3348108955987,198.3348108955987,907.3577874274046,1072.61758558929
500016494,7959990623,195.30278420241015,195.30278420241015,962.1414039070145,1011.5500143466041
500016494,8516154880,41.54766412437286,41.54766412437286,203.12650408194463,232.31058614562534
500016494,9666019900,62.34057883073597,62.34057883073597,306.02097273038464,348.57257836380086
500016498,500016968,360.6114544994573,360.6114544994573,1618.0213007848968,1907.9901857587706
500016498,500016501,177.00127576871918,177.00127576871918,832.8343847316295,975.1617066544718
500016498,2784871112,42.46540371637164,42.46540371637164,205.07252127592255,239.21909541260243
500016501,500017668,203.91093350768855,203.91093350768855,1004.9723099590325,1056.5586502111657
500016507,8431769837,154.51702583775565,154.51702583775565,714.1331369653404,753.2235757784881
500016507,9200052964,111.09917118631547,111.09917118631547,488.456948646114,516.5633358219208
